sessionNr,trialNr,isActionCue,isStakes,isReleaseCue,isOutcome,cue,reqAction,reqSide,rewLeft,angle,rewMag,punMag,goValidity,nogoValidity,isCatch,ISI,ITI
1,1,1,0,1,1,Pract_Go,1,1,1,-18,4,2,1,1,0,0.4,1.4
1,2,1,0,1,1,Pract_NoGo,0,0,0,43,4,1,1,1,0,0.2,1.4
1,3,1,0,1,1,Pract_Go,1,0,0,29,4,5,1,1,0,0.3,1.4
1,4,1,0,1,1,Pract_NoGo,0,0,1,35,4,1,1,1,0,0.1,1.4
1,5,1,0,1,1,Pract_Go,1,1,0,-9,1,4,1,1,0,0.2,1.3
1,6,1,0,1,1,Pract_Go,1,0,1,-6,2,1,0,0,0,0.4,1.5
1,7,1,0,1,1,Pract_NoGo,0,1,0,-14,3,2,1,1,0,0.4,1.4
1,8,1,0,1,1,Pract_NoGo,0,1,1,34,2,3,0,0,0,0.3,1.6
