sessionNr,trialNr,isActionCue,isStakes,isReleaseCue,isOutcome,cue,reqAction,reqSide,rewLeft,angle,rewMag,punMag,goValidity,nogoValidity,isCatch,ISI,ITI
1,1,0,0,1,1,Pract_Go,1,0,1,-42,1,1,1,1,0,0.1,1.6
1,2,0,0,1,1,Pract_Go,1,1,0,26,1,1,1,1,0,0.4,1.3
1,3,0,0,1,1,Pract_Go,1,0,1,-35,1,1,1,1,0,0.2,1.3
1,4,0,0,1,1,Pract_Go,1,0,0,27,1,1,1,1,0,0.5,1.5
1,5,0,0,1,1,Pract_Go,1,1,0,43,1,1,1,1,0,0.4,1.5
1,6,0,0,1,1,Pract_Go,1,0,1,-20,1,1,1,1,0,0.1,1.4
1,7,0,0,1,1,Pract_Go,1,1,1,13,1,1,1,1,0,0.3,1.4
1,8,0,0,1,1,Pract_Go,1,1,0,-16,1,1,1,1,0,0.5,1.3
