sessionNr,trialNr,isActionCue,isStakes,isReleaseCue,isOutcome,cue,reqAction,reqSide,rewLeft,angle,rewMag,punMag,goValidity,nogoValidity,isCatch,ISI,ITI
1,1,1,1,1,1,Pract_Go,1,1,0,0,2,1,1,1,0,0.5,1.6
1,2,1,1,1,1,Pract_NoGo,0,1,0,25,2,3,1,1,1,0.2,1.4
1,3,1,1,1,1,Pract_Go,1,0,1,5,2,3,1,1,0,0.2,1.6
1,4,1,1,1,1,Pract_NoGo,0,0,0,-25,1,4,1,1,0,0.2,1.4
1,5,1,1,1,1,Pract_Go,1,1,1,-5,5,3,1,1,1,0.5,1.6
1,6,1,1,1,1,Pract_Go,1,1,0,-45,4,5,1,1,0,0.5,1.3
1,7,1,1,1,1,Pract_NoGo,0,1,1,5,4,2,1,1,0,0.2,1.4
1,8,1,1,1,1,Pract_NoGo,0,0,1,45,4,2,1,1,0,0.2,1.5
